Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_1.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_2.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_3.wsq: is A; nn: hyp W, conf 0.94; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_4.wsq: is A; nn: hyp L, conf 0.46; conup n; hyp L, conf 0.46; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_5.wsq: is A; nn: hyp W, conf 0.89; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_6.wsq: is A; nn: hyp W, conf 0.83; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_7.wsq: is A; nn: hyp W, conf 0.66; conup n; hyp W, conf 0.66; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_8.wsq: is A; nn: hyp W, conf 0.91; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_1.wsq: is A; nn: hyp R, conf 0.66; conup n; hyp R, conf 0.66; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_2.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_3.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_4.wsq: is A; nn: hyp W, conf 0.55; conup n; hyp W, conf 0.55; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_5.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_6.wsq: is A; nn: hyp L, conf 0.82; conup n; hyp L, conf 0.82; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_7.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\102_8.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_1.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_2.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_3.wsq: is A; nn: hyp L, conf 0.81; conup n; hyp L, conf 0.81; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_4.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_5.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_6.wsq: is A; nn: hyp L, conf 0.76; conup n; hyp L, conf 0.76; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\103_8.wsq: is A; nn: hyp L, conf 0.76; conup n; hyp L, conf 0.76; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_1.wsq: is A; nn: hyp R, conf 0.74; conup y; hyp W, conf 0.90; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_2.wsq: is A; nn: hyp W, conf 0.66; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_3.wsq: is A; nn: hyp R, conf 0.42; conup y; hyp W, conf 0.90; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_4.wsq: is A; nn: hyp R, conf 0.57; conup y; hyp W, conf 0.90; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_5.wsq: is A; nn: hyp R, conf 0.78; conup n; hyp R, conf 0.78; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_6.wsq: is A; nn: hyp L, conf 0.33; conup n; hyp L, conf 0.33; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_7.wsq: is A; nn: hyp L, conf 0.46; conup n; hyp L, conf 0.46; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\104_8.wsq: is A; nn: hyp R, conf 0.55; conup n; hyp R, conf 0.55; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_1.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_2.wsq: is A; nn: hyp R, conf 0.96; conup n; hyp R, conf 0.96; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_3.wsq: is A; nn: hyp R, conf 0.80; conup n; hyp R, conf 0.80; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_4.wsq: is A; nn: hyp L, conf 0.59; conup n; hyp L, conf 0.59; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_5.wsq: is A; nn: hyp R, conf 0.40; conup n; hyp R, conf 0.40; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_6.wsq: is A; nn: hyp R, conf 0.78; conup n; hyp R, conf 0.78; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_7.wsq: is A; nn: hyp R, conf 0.80; conup n; hyp R, conf 0.80; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\105_8.wsq: is A; nn: hyp R, conf 0.72; conup n; hyp R, conf 0.72; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_1.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_2.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_3.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
